block_seq_num,block_var_num,block_route_num,block_run_num
4511228,1,672,4
4511229,1,672,8
4511230,1,672,15
4511231,1,672,13
4511232,1,672,7
4511233,1,672,6
4511234,1,672,3
4511235,1,672,2
4511236,1,672,1
4511237,1,672,16
4511238,1,672,14
4511239,1,672,12
4511240,1,982,2
4511241,1,887,2
4511242,1,268,3
4511243,1,824,2
4511244,1,892,2
4511245,1,989,2
4511246,1,212,13
4511247,1,257,4
4511248,1,268,4
4511249,1,212,1
4511250,1,212,14
4511251,1,823,2
4511252,1,252,6
4511253,1,894,2
4511254,1,257,2
4511255,1,246,10
4511256,1,255,14
4511257,1,255,9
4511258,1,252,3
4511259,1,257,3
4511260,1,212,23
4511261,1,212,4
4511262,1,212,3
4511263,1,212,18
4511264,1,252,7
4511265,1,672,5
4511266,1,672,9
4511267,1,672,10
4511268,1,672,11
4511269,1,268,1
4511270,1,212,7
4511271,1,268,5
4511272,1,212,24
4511273,1,889,2
4511274,1,212,6
4511275,1,212,10
4511276,1,252,2
4511277,1,216,1
4511278,1,216,2
4511279,1,212,15
4511280,1,212,20
4511281,1,216,3
4511282,1,216,4
4511283,1,216,5
4511284,1,216,8
4511285,1,216,9
4511286,1,216,10
4511287,1,218,1
4511288,1,218,3
4511289,1,218,5
4511290,1,218,6
4511291,1,218,7
4511292,1,218,8
4511293,1,218,9
4511294,1,218,11
4511295,1,218,12
4511296,1,218,13
4511297,1,218,14
4511298,1,218,15
4511299,1,219,1
4511300,1,219,2
4511301,1,219,3
4511302,1,219,4
4511303,1,216,11
4511304,1,219,5
4511305,1,219,6
4511306,1,219,7
4511307,1,255,12
4511308,1,216,6
4511309,1,252,1
4511310,1,891,2
4511311,1,892,1
4511312,1,893,2
4511313,1,895,2
4511314,1,986,2
4511315,1,255,19
4511316,1,255,1
4511317,1,255,2
4511318,1,255,3
4511319,1,255,4
4511320,1,255,5
4511321,1,255,6
4511322,1,255,7
4511323,1,255,8
4511324,1,255,10
4511325,1,255,11
4511326,1,255,15
4511327,1,255,16
4511328,1,255,17
4511329,1,255,18
4511330,1,255,21
4511331,1,255,22
4511332,1,255,23
4511333,1,252,4
4511334,1,255,24
4511335,1,255,25
4511336,1,255,26
4511337,1,255,27
4511338,1,255,28
4511339,1,255,31
4511340,1,255,32
4511341,1,255,33
4511342,1,255,13
4511343,1,311,2
4511344,1,311,1
4511345,1,311,3
4511346,1,311,4
4511347,1,311,6
4511348,1,311,7
4511349,1,311,9
4511350,1,311,10
4511351,1,311,11
4511352,1,311,12
4511353,1,311,13
4511354,1,311,14
4511355,1,311,8
4511356,1,311,5
4511357,1,888,2
4511358,1,268,2
4511359,1,522,1
4511360,1,522,3
4511361,1,522,4
4511362,1,545,3
4511363,1,540,1
4511364,1,522,6
4511365,1,522,7
4511366,1,522,8
4511367,1,522,9
