service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
105471,0,0,0,0,0,0,0,20170925,20180309
105655,0,0,0,0,0,0,0,20170925,20180309
106218,0,0,0,0,0,0,0,20170925,20180308
107096,0,0,0,0,0,0,0,20170925,20180309
110616,0,0,0,0,0,0,0,20170925,20180309
116367,0,0,0,0,0,0,0,20170925,20180309
117084,0,0,0,0,0,0,0,20170925,20180309
123836,0,1,1,0,1,0,0,20170925,20180309
1402,0,0,0,0,0,0,1,20171001,20171001
1977,0,0,1,0,0,0,0,20170920,20170920
21656,1,1,1,1,1,0,0,20170925,20171027
22329,0,0,0,0,0,1,0,20170923,20180303
24851,0,0,0,0,1,0,0,20170929,20180309
26490,0,0,0,0,0,0,0,20170927,20180307
26781,0,0,0,0,0,0,0,20170927,20180307
27707,0,0,0,0,0,0,1,20170924,20180304
3274,0,1,0,1,1,0,0,20170919,20170922
4734,0,1,1,1,0,0,0,20170919,20170921
517,0,0,0,0,1,0,0,20170922,20170922
5251,0,1,1,1,1,0,0,20170919,20170922
7469,0,0,0,0,0,0,0,20171110,20180219
7547,0,0,0,0,0,1,0,20170923,20171028
7720,0,0,0,0,0,0,1,20170924,20171029
77250,0,0,0,0,0,0,0,20170925,20180309
77261,0,0,0,0,0,0,0,20170925,20180309
78,0,0,1,0,0,0,0,20170927,20170927
78690,0,0,0,0,0,0,0,20170925,20180309
79437,0,0,0,0,0,0,0,20170925,20180308
98985,0,1,1,0,0,0,0,20170925,20180308
99898,0,0,0,0,0,0,0,20170925,20180309
