route_id,trip_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,fare_id
100215,30767311,5251,EXPRESS,University District Jackson Park,373E,1,4512627,24373019,112
100215,30767312,5251,EXPRESS,University District Jackson Park,373E,1,4512470,24373019,112
100059,30767342,5251,LOCAL,University District Via SR-520,,1,4512593,14167334,112
100059,30767344,5251,LOCAL,University District Via SR-520,,1,4512533,14167334,112
100059,30767346,5251,LOCAL,University District Via SR-520,,1,4512615,14167334,112
100059,30767347,5251,LOCAL,S Renton P&R Via I-405,,0,4512570,25167335,112
100201,30767348,5251,LOCAL,Shoreline P&R Bellevue,,0,4512570,15342036,110
100201,30767349,5251,LOCAL,Shoreline P&R Bellevue,,0,4512686,15342036,110
100215,30767352,5251,EXPRESS,University District Jackson Park,373E,1,4512494,24373019,112
100215,30767356,5251,EXPRESS,University District Jackson Park,373E,1,4512504,24373019,112
100184,30767363,5251,LOCAL,University District Fremont,,1,4512549,44031055,101
100184,30767365,5251,LOCAL,University District Fremont,,1,4512551,44031055,101
100184,30767367,5251,LOCAL,University District Fremont,,1,4512557,44031055,110
100184,30767371,5251,LOCAL,University District Fremont,,1,4512619,44031053,101
100184,30767373,5251,LOCAL,University District Fremont,,1,4512542,44031055,101
100184,30767375,5251,LOCAL,University District Fremont,,1,4512540,44031055,101
100269,30767377,5251,LOCAL,University District Lake City,,1,4512551,24075173,101
100184,30767380,5251,LOCAL,University District Fremont,,1,4512551,44031055,101
100184,30767382,5251,LOCAL,University District Fremont,,1,4512557,44031055,101
100184,30767384,5251,LOCAL,University District Fremont,,1,4512542,44031055,110
100184,30767386,5251,LOCAL,University District Fremont,,1,4512542,44031055,101
100184,30767388,5251,LOCAL,University District Fremont,,1,4512541,44031055,101
100184,30767390,5251,LOCAL,University District Fremont,,1,4512549,44031055,101
100259,30767393,5251,LOCAL,University District Roosevelt,,1,4512514,24067078,110
100259,30767394,5251,LOCAL,Northgate Roosevelt,,0,4512510,15067077,101
100259,30767395,5251,LOCAL,University District Roosevelt,,1,4512469,24067078,101
100259,30767396,5251,LOCAL,Northgate Roosevelt,,0,4512491,15067077,101
100259,30767397,5251,LOCAL,University District Roosevelt,,1,4512522,24067078,110
100259,30767398,5251,LOCAL,Northgate Roosevelt,,0,4512510,15067077,101
100259,30767399,5251,LOCAL,Northgate Roosevelt,,0,4512510,15067077,110
100259,30767400,5251,LOCAL,University District Roosevelt,,1,4512469,24067078,101
100259,30767401,5251,LOCAL,Northgate Roosevelt,,0,4512491,15067077,101
100259,30767402,5251,LOCAL,University District Roosevelt,,1,4512514,24067078,101
100259,30767403,5251,LOCAL,Northgate Roosevelt,,0,4512522,15067077,110
100259,30767404,5251,LOCAL,Northgate Roosevelt,,0,4512491,15067077,110
100259,30767405,5251,LOCAL,University District Roosevelt,,1,4512514,24067078,101
100259,30767406,5251,LOCAL,Northgate Roosevelt,,0,4512522,15067077,101
100259,30767407,5251,LOCAL,University District Roosevelt,,1,4512583,24067078,110
100259,30767408,5251,LOCAL,Northgate Roosevelt,,0,4512483,15067077,110
100259,30767409,5251,LOCAL,University District Roosevelt,,1,4512522,24067078,101
100259,30767410,5251,LOCAL,Northgate Roosevelt,,0,4512472,15067077,101
100259,30767411,5251,LOCAL,University District Roosevelt,,1,4512491,24067078,110
100259,30767412,5251,LOCAL,University District Roosevelt,,1,4512491,24067078,110
100259,30767413,5251,LOCAL,Northgate Roosevelt,,0,4512476,15067077,101
100259,30767414,5251,LOCAL,University District Roosevelt,,1,4512522,24067078,101
100259,30767415,5251,LOCAL,Northgate Roosevelt,,0,4512472,15067077,101
100259,30767416,5251,LOCAL,University District Roosevelt,,1,4512476,24067078,110
100259,30767417,5251,LOCAL,University District Roosevelt,,1,4512472,24067078,101
100259,30767418,5251,LOCAL,Northgate Roosevelt,,0,4512469,15067077,101
100259,30767419,5251,LOCAL,University District Roosevelt,,1,4512476,24067078,101
100259,30767420,5251,LOCAL,Northgate Roosevelt,,0,4512483,15067077,110
100259,30767421,5251,LOCAL,Northgate Roosevelt,,0,4512584,15067077,101
100259,30767422,5251,LOCAL,Northgate Roosevelt,,0,4512469,15067077,110
100259,30767423,5251,LOCAL,University District Roosevelt,,1,4512476,24067078,101
100259,30767424,5251,LOCAL,Northgate Roosevelt,,0,4512514,15067077,101
100259,30767425,5251,LOCAL,University District Roosevelt,,1,4512464,24067078,110
100259,30767426,5251,LOCAL,Northgate Roosevelt,,0,4512583,15067077,110
100259,30767427,5251,LOCAL,Northgate Roosevelt,,0,4512581,15067077,101
100259,30767428,5251,LOCAL,Northgate Roosevelt,,0,4512483,15067077,101
100259,30767429,5251,LOCAL,University District Roosevelt,,1,4512472,24067078,101
100259,30767430,5251,LOCAL,Northgate Roosevelt,,0,4512469,15067077,101
100259,30767431,5251,LOCAL,University District Roosevelt,,1,4512510,24067078,110
100259,30767432,5251,LOCAL,Northgate Roosevelt,,0,4512578,15067077,101
100259,30767433,5251,LOCAL,Northgate Roosevelt,,0,4512472,15067077,110
100259,30767434,5251,LOCAL,University District Roosevelt,,1,4512491,24067078,101
100259,30767435,5251,LOCAL,Northgate Roosevelt,,0,4512476,15067077,101
100259,30767436,5251,LOCAL,University District Roosevelt,,1,4512581,24067078,110
100259,30767439,5251,LOCAL,Northgate Roosevelt,,0,4512516,15067077,110
100259,30767440,5251,LOCAL,Northgate Roosevelt,,0,4512583,15067077,101
100259,30767441,5251,LOCAL,Northgate Roosevelt,,0,4512514,15067077,110
100259,30767442,5251,LOCAL,Northgate Roosevelt,,0,4512515,15067077,110
100184,30767444,5251,LOCAL,University District Fremont,,1,4512544,44031055,101
100184,30767446,5251,LOCAL,University District Fremont,,1,4512541,44031055,101
100184,30767448,5251,LOCAL,University District Fremont,,1,4512541,44031055,110
100184,30767450,5251,LOCAL,University District Fremont,,1,4512545,44031055,110
100184,30767452,5251,LOCAL,University District Fremont,,1,4512540,44031055,101
100184,30767454,5251,LOCAL,University District Fremont,,1,4512544,44031055,101
100269,30767456,5251,LOCAL,University District Lake City,,1,4512590,24075173,101
100269,30767457,5251,LOCAL,Northgate Lake City,,0,4512557,15075157,101
100269,30767458,5251,LOCAL,Northgate Lake City,,0,4512545,15075157,101
100269,30767460,5251,LOCAL,Northgate Lake City,,0,4512551,15075157,110
100269,30767461,5251,LOCAL,University District Lake City,,1,4512542,24075173,101
100269,30767462,5251,LOCAL,Northgate Lake City,,0,4512540,15075157,110
100269,30767463,5251,LOCAL,University District Lake City,,1,4512551,24075173,101
100269,30767464,5251,LOCAL,Northgate Lake City,,0,4512541,15075157,101
100269,30767465,5251,LOCAL,University District Lake City,,1,4512543,24075173,101
100269,30767466,5251,LOCAL,Northgate Lake City,,0,4512541,15075157,101
100269,30767467,5251,LOCAL,University District Lake City,,1,4512557,24075173,110
100269,30767468,5251,LOCAL,Northgate Lake City,,0,4512534,15075157,101
100269,30767469,5251,LOCAL,University District Lake City,,1,4512543,24075173,101
100269,30767470,5251,LOCAL,University District Lake City,,1,4512551,24075173,110
100269,30767471,5251,LOCAL,Northgate Lake City,,0,4512535,15075157,110
100269,30767472,5251,LOCAL,Northgate Lake City,,0,4512594,15075157,110
100269,30767473,5251,LOCAL,University District Lake City,,1,4512549,24075173,110
100269,30767474,5251,LOCAL,Northgate Lake City,,0,4512637,15075157,110
100269,30767475,5251,LOCAL,University District Lake City,,1,4512671,24075173,101
100269,30767476,5251,LOCAL,Northgate Lake City,,0,4512544,15075157,101
100269,30767477,5251,LOCAL,Northgate Lake City,,0,4512534,15075157,110
100269,30767478,5251,LOCAL,University District Lake City,,1,4512551,24075173,101
100269,30767479,5251,LOCAL,University District Lake City,,1,4512545,24075173,110
100269,30767480,5251,LOCAL,Northgate Lake City,,0,4512543,15075157,110
100269,30767481,5251,LOCAL,University District Lake City,,1,4512544,24075173,101
100269,30767482,5251,LOCAL,Northgate Lake City,,0,4512557,15075157,101
100269,30767483,5251,LOCAL,University District Lake City,,1,4512535,24075173,101
100269,30767484,5251,LOCAL,Northgate Lake City,,0,4512542,15075157,101
100269,30767485,5251,LOCAL,University District Lake City,,1,4512556,24075173,110
100269,30767486,5251,LOCAL,Northgate Lake City,,0,4512557,15075157,110
100269,30767487,5251,LOCAL,Northgate Lake City,,0,4512633,15075157,110
100269,30767488,5251,LOCAL,University District Lake City,,1,4512535,24075173,101
100269,30767489,5251,LOCAL,University District Lake City,,1,4512447,24075173,101
100269,30767490,5251,LOCAL,Northgate Lake City,,0,4512540,15075157,101
