h_zip,age_scaled,age_scaled
98101,25-34,41
98101,55-64,20
98101,35-44,19
98101,45-54,19
98101,65-74,11
98101,85 or older,11
98101,18-24,10
98101,75-84,9
98102,25-34,104
98102,35-44,65
98102,45-54,27
98102,55-64,23
98102,65-74,19
98102,18-24,10
98102,85 or older,4
98102,75-84,3
98103,25-34,148
98103,35-44,87
98103,55-64,57
98103,45-54,35
98103,65-74,19
98103,18-24,12
98103,75-84,8
98103,85 or older,4
98104,25-34,35
98104,35-44,18
98104,45-54,17
98104,55-64,15
98104,75-84,11
98104,65-74,10
98104,18-24,9
98104,85 or older,3
98105,25-34,62
98105,18-24,60
98105,35-44,37
98105,55-64,32
98105,45-54,29
98105,65-74,16
98105,75-84,12
98105,85 or older,2
98106,25-34,17
98106,35-44,15
98106,55-64,11
98106,45-54,5
98106,65-74,4
98106,18-24,1
98106,75-84,1
98107,25-34,72
98107,35-44,40
98107,45-54,36
98107,55-64,27
98107,65-74,16
98107,75-84,9
98107,18-24,8
98107,85 or older,1
98108,35-44,12
98108,25-34,11
98108,55-64,9
98108,45-54,7
98108,75-84,3
98108,18-24,1
98108,65-74,1
98109,25-34,79
98109,35-44,47
98109,55-64,23
98109,18-24,19
98109,45-54,16
98109,65-74,15
98109,75-84,12
98109,85 or older,1
98112,25-34,33
98112,45-54,28
98112,65-74,21
98112,35-44,20
98112,55-64,20
98112,18-24,7
98112,75-84,5
98115,25-34,67
98115,35-44,47
98115,45-54,41
98115,55-64,40
98115,65-74,34
98115,18-24,13
98115,75-84,13
98115,85 or older,5
98116,45-54,20
98116,55-64,20
98116,25-34,18
98116,35-44,14
98116,65-74,13
98116,18-24,1
98116,75-84,1
98116,85 or older,1
98117,35-44,34
98117,45-54,30
98117,55-64,27
98117,25-34,24
98117,65-74,12
98117,75-84,4
98117,18-24,3
98117,85 or older,2
98118,55-64,36
98118,25-34,20
98118,35-44,18
98118,45-54,15
98118,65-74,8
98118,75-84,5
98118,18-24,2
98118,85 or older,2
98119,25-34,63
98119,55-64,32
98119,35-44,30
98119,65-74,25
98119,45-54,21
98119,18-24,10
98119,75-84,3
98119,85 or older,2
98121,25-34,58
98121,35-44,27
98121,55-64,22
98121,45-54,20
98121,65-74,19
98121,18-24,9
98121,75-84,3
98121,85 or older,1
98122,25-34,131
98122,35-44,65
98122,45-54,44
98122,55-64,38
98122,65-74,21
98122,18-24,20
98122,75-84,9
98122,85 or older,2
98125,25-34,45
98125,35-44,39
98125,55-64,32
98125,45-54,30
98125,65-74,29
98125,18-24,11
98125,75-84,9
98125,85 or older,6
98126,35-44,26
98126,45-54,18
98126,55-64,12
98126,25-34,10
98126,65-74,6
98126,18-24,3
98126,75-84,2
98126,85 or older,1
98133,35-44,30
98133,25-34,26
98133,45-54,18
98133,55-64,17
98133,65-74,16
98133,75-84,5
98133,18-24,4
98133,85 or older,2
98134,25-34,1
98134,35-44,1
98136,55-64,18
98136,35-44,17
98136,45-54,15
98136,25-34,10
98136,65-74,6
98136,18-24,2
98136,75-84,1
98144,35-44,35
98144,25-34,34
98144,55-64,28
98144,45-54,27
98144,65-74,10
98144,18-24,3
98144,75-84,1
98144,85 or older,1
98146,55-64,8
98146,25-34,7
98146,35-44,7
98146,45-54,6
98146,65-74,5
98146,75-84,2
98146,18-24,1
98146,85 or older,1
98155,65-74,2
98168,55-64,3
98168,25-34,2
98168,45-54,2
98168,35-44,1
98177,45-54,6
98177,25-34,5
98177,55-64,5
98177,35-44,4
98177,65-74,4
98177,75-84,1
98178,25-34,9
98178,65-74,6
98178,45-54,5
98178,35-44,4
98178,55-64,4
98178,75-84,4
98178,18-24,1
98199,55-64,17
98199,65-74,14
98199,25-34,11
98199,35-44,8
98199,45-54,5
98199,18-24,1
