"","X","stop_id","stop_name","stop_lat","stop_lon","zone_id","stop_timezone","census_tract_id","zip"
"1",1,1000,"Pine St & 9th Ave",47.613415,-122.332138,21,"America/Los_Angeles",82,98101
"2",2,10000,"NE 55th St & 43rd Ave NE",47.668575,-122.283653,1,"America/Los_Angeles",42,98105
"3",3,10005,"40th Ave NE & NE 51st St",47.665886,-122.284897,1,"America/Los_Angeles",42,98105
"4",4,10010,"NE 55th St & 39th Ave NE",47.668579,-122.285667,1,"America/Los_Angeles",42,98105
"5",5,10020,"NE 55th St & 37th Ave NE",47.668579,-122.2883,1,"America/Los_Angeles",42,98105
"6",6,10030,"NE 55th St & 35th Ave NE",47.668579,-122.290512,1,"America/Los_Angeles",42,98105
"7",7,10040,"NE 55th St & 33rd Ave NE",47.668583,-122.293015,1,"America/Los_Angeles",42,98105
"8",8,10050,"NE 55th St & 30th Ave NE",47.668591,-122.295448,1,"America/Los_Angeles",42,98105
"9",9,10060,"NE 55th St & 27th Ave NE",47.668594,-122.298859,1,"America/Los_Angeles",43.01,98105
"10",10,10070,"NE 55th St & 25th Ave NE",47.668594,-122.300995,1,"America/Los_Angeles",43.01,98105
"11",11,10083,"Ravenna Ave NE & Ravenna Pl NE",47.66848,-122.30378,1,"America/Los_Angeles",43.01,98115
"12",12,1010,"Howell St & Minor Ave",47.616711,-122.330597,1,"America/Los_Angeles",73,98101
"13",13,10100,"NE Ravenna Blvd & Park Rd NE",47.669552,-122.305405,1,"America/Los_Angeles",43.01,98105
"14",14,10110,"20th Ave NE & NE 55th St",47.668274,-122.30658,1,"America/Los_Angeles",44,98105
"15",15,10120,"20th Ave NE & NE 52nd St",47.666283,-122.306602,1,"America/Los_Angeles",44,98105
"16",16,10130,"NE 50th St & 19th Ave NE",47.664928,-122.307114,1,"America/Los_Angeles",44,98105
"17",17,10145,"NE 50th St & 16th Ave NE",47.664959,-122.311172,1,"America/Los_Angeles",44,98105
"18",18,10170,"Fairview Ave E & E Nelson Pl",47.630604,-122.328629,1,"America/Los_Angeles",66,98109
"19",19,10180,"Fairview Ave N & Yale Ave N",47.628349,-122.33152,1,"America/Los_Angeles",66,98109
"20",20,10190,"Fairview Ave N & Aloha St",47.627209,-122.332947,1,"America/Los_Angeles",66,98109
"21",21,1020,"Howell St & Yale Ave",47.617626,-122.329407,21,"America/Los_Angeles",73,98101
"22",22,10210,"Fairview Ave N & W Mercer St",47.624035,-122.334457,1,"America/Los_Angeles",73,98109
"23",23,10225,"Fairview Ave N & Thomas St",47.620586,-122.334419,1,"America/Los_Angeles",73,98109
"24",24,10240,"Boren Ave & Virginia St",47.6175,-122.333817,1,"America/Los_Angeles",73,98101
"25",25,10280,"Fairview Ave & Denny Way",47.61842,-122.334198,1,"America/Los_Angeles",73,98101
"26",26,10305,"Fairview Ave N & Harrison St",47.622276,-122.334244,1,"America/Los_Angeles",73,98109
