ozip,dzip,dzip
98101.0,98101.0,477
98101.0,98104.0,129
98101.0,98122.0,104
98101.0,98121.0,97
98101.0,98109.0,86
98101.0,98102.0,50
98101.0,98119.0,43
98101.0,98103.0,40
98101.0,98107.0,39
98101.0,98105.0,32
98101.0,98112.0,27
98101.0,98144.0,22
98101.0,98115.0,16
98101.0,98116.0,14
98101.0,98125.0,13
98101.0,98134.0,13
98102.0,98102.0,278
98102.0,98122.0,83
98102.0,98112.0,50
98102.0,98109.0,47
98102.0,98101.0,44
98102.0,98104.0,38
98102.0,98103.0,23
98102.0,98105.0,20
98102.0,98121.0,18
98102.0,98115.0,16
98102.0,98195.0,16
98102.0,98107.0,14
98103.0,98103.0,616
98103.0,98115.0,114
98103.0,98105.0,96
98103.0,98107.0,91
98103.0,98117.0,75
98103.0,98133.0,48
98103.0,98101.0,44
98103.0,98119.0,37
98103.0,98104.0,35
98103.0,98109.0,32
98103.0,98122.0,30
98103.0,98125.0,28
98103.0,98102.0,23
98103.0,98121.0,22
98103.0,98195.0,21
98103.0,98112.0,18
98104.0,98104.0,350
98104.0,98101.0,141
98104.0,98122.0,85
98104.0,98121.0,40
98104.0,98102.0,38
98104.0,98103.0,34
98104.0,98144.0,33
98104.0,98105.0,31
98104.0,98109.0,27
98104.0,98119.0,22
98104.0,98134.0,19
98104.0,98107.0,17
98104.0,98108.0,17
98104.0,98115.0,17
98104.0,98125.0,17
98104.0,98112.0,15
98104.0,98118.0,13
98104.0,98116.0,11
98104.0,98117.0,11
98105.0,98105.0,432
98105.0,98115.0,159
98105.0,98195.0,125
98105.0,98103.0,94
98105.0,98125.0,42
98105.0,98104.0,35
98105.0,98101.0,30
98105.0,98112.0,28
98105.0,98102.0,26
98105.0,98122.0,26
98105.0,98109.0,22
98105.0,98107.0,17
98105.0,98117.0,16
98105.0,98133.0,13
98105.0,98121.0,11
98106.0,98106.0,55
98106.0,98126.0,24
98106.0,98146.0,12
98107.0,98107.0,439
98107.0,98117.0,95
98107.0,98103.0,86
98107.0,98109.0,51
98107.0,98119.0,45
98107.0,98101.0,36
98107.0,98105.0,21
98107.0,98104.0,19
98107.0,98122.0,18
98107.0,98199.0,15
98107.0,98115.0,14
98108.0,98108.0,54
98108.0,98144.0,23
98108.0,98104.0,15
98108.0,98106.0,15
98108.0,98134.0,13
98108.0,98118.0,12
98109.0,98109.0,500
98109.0,98119.0,110
98109.0,98121.0,84
98109.0,98101.0,82
98109.0,98102.0,56
98109.0,98122.0,47
98109.0,98103.0,46
98109.0,98107.0,45
98109.0,98104.0,28
98109.0,98112.0,24
98109.0,98125.0,24
98109.0,98117.0,18
98109.0,98115.0,17
98109.0,98133.0,17
98109.0,98105.0,16
98109.0,98144.0,12
98109.0,98126.0,11
98112.0,98112.0,222
98112.0,98122.0,144
98112.0,98102.0,51
98112.0,98109.0,25
98112.0,98101.0,21
98112.0,98105.0,20
98112.0,98103.0,18
98112.0,98104.0,17
98112.0,98115.0,13
98112.0,98144.0,11
98115.0,98115.0,478
98115.0,98105.0,144
98115.0,98103.0,112
98115.0,98125.0,103
98115.0,98195.0,43
98115.0,98133.0,23
98115.0,98101.0,20
98115.0,98117.0,19
98115.0,98122.0,19
98115.0,98104.0,17
98115.0,98109.0,16
98115.0,98107.0,15
98115.0,98102.0,12
98116.0,98116.0,163
98116.0,98126.0,47
98116.0,98136.0,35
98116.0,98101.0,13
98116.0,98104.0,12
98117.0,98117.0,209
98117.0,98107.0,94
98117.0,98103.0,81
98117.0,98109.0,21
98117.0,98133.0,21
98117.0,98115.0,19
98117.0,98105.0,16
98117.0,98101.0,14
98118.0,98118.0,166
98118.0,98144.0,26
98118.0,98108.0,16
98118.0,98101.0,15
98118.0,98104.0,13
98118.0,98122.0,12
98119.0,98119.0,176
98119.0,98109.0,103
98119.0,98101.0,48
98119.0,98107.0,41
98119.0,98103.0,31
98119.0,98121.0,29
98119.0,98199.0,21
98119.0,98104.0,20
98119.0,98122.0,12
98121.0,98121.0,178
98121.0,98101.0,87
98121.0,98109.0,81
98121.0,98104.0,37
98121.0,98119.0,25
98121.0,98103.0,20
98121.0,98105.0,18
98121.0,98122.0,18
98121.0,98102.0,16
98121.0,98107.0,14
98121.0,98134.0,13
98122.0,98122.0,530
98122.0,98112.0,128
98122.0,98101.0,110
98122.0,98104.0,90
98122.0,98144.0,87
98122.0,98102.0,74
98122.0,98109.0,50
98122.0,98103.0,36
98122.0,98105.0,32
98122.0,98121.0,21
98122.0,98115.0,19
98122.0,98107.0,14
98122.0,98134.0,13
98122.0,98118.0,12
98122.0,98119.0,11
98125.0,98125.0,402
98125.0,98115.0,100
98125.0,98133.0,46
98125.0,98105.0,36
98125.0,98103.0,33
