,ozip,dzip,dzip.1,olat,olon,dlat,dlon
0,98101.0,98101.0,477,47.611,-122.333,47.611,-122.333
1,98101.0,98104.0,129,47.611,-122.333,47.605,-122.326
2,98101.0,98122.0,104,47.611,-122.333,47.608,-122.302
3,98101.0,98121.0,97,47.611,-122.333,47.613,-122.344
4,98101.0,98109.0,86,47.611,-122.333,47.629,-122.343
5,98101.0,98102.0,50,47.611,-122.333,47.633,-122.322
6,98101.0,98119.0,43,47.611,-122.333,47.639,-122.366
7,98101.0,98103.0,40,47.611,-122.333,47.671,-122.34
8,98101.0,98107.0,39,47.611,-122.333,47.67,-122.383
9,98101.0,98105.0,32,47.611,-122.333,47.661,-122.293
10,98101.0,98112.0,27,47.611,-122.333,47.634,-122.293
11,98101.0,98144.0,22,47.611,-122.333,47.587,-122.298
12,98101.0,98115.0,16,47.611,-122.333,47.683,-122.292
13,98101.0,98116.0,14,47.611,-122.333,47.575,-122.396
14,98101.0,98125.0,13,47.611,-122.333,47.718,-122.302
15,98101.0,98134.0,13,47.611,-122.333,47.578,-122.333
16,98102.0,98102.0,278,47.633,-122.322,47.633,-122.322
17,98102.0,98122.0,83,47.633,-122.322,47.608,-122.302
18,98102.0,98112.0,50,47.633,-122.322,47.634,-122.293
19,98102.0,98109.0,47,47.633,-122.322,47.629,-122.343
20,98102.0,98101.0,44,47.633,-122.322,47.611,-122.333
21,98102.0,98104.0,38,47.633,-122.322,47.605,-122.326
22,98102.0,98103.0,23,47.633,-122.322,47.671,-122.34
23,98102.0,98105.0,20,47.633,-122.322,47.661,-122.293
24,98102.0,98121.0,18,47.633,-122.322,47.613,-122.344
25,98102.0,98115.0,16,47.633,-122.322,47.683,-122.292
26,98102.0,98195.0,16,47.633,-122.322,47.65,-122.31
27,98102.0,98107.0,14,47.633,-122.322,47.67,-122.383
28,98103.0,98103.0,616,47.671,-122.34,47.671,-122.34
29,98103.0,98115.0,114,47.671,-122.34,47.683,-122.292
30,98103.0,98105.0,96,47.671,-122.34,47.661,-122.293
31,98103.0,98107.0,91,47.671,-122.34,47.67,-122.383
32,98103.0,98117.0,75,47.671,-122.34,47.686,-122.38
33,98103.0,98133.0,48,47.671,-122.34,47.742,-122.344
34,98103.0,98101.0,44,47.671,-122.34,47.611,-122.333
