,ozip,dzip,dzip.1,olat,olon,dlat,dlon
0,98101,98101,477,47.611,-122.333,47.611,-122.333
1,98101,98104,129,47.611,-122.333,47.605,-122.326
2,98101,98122,104,47.611,-122.333,47.608,-122.302
3,98101,98121,97,47.611,-122.333,47.613,-122.344
4,98101,98109,86,47.611,-122.333,47.629,-122.343
5,98101,98102,50,47.611,-122.333,47.633,-122.322
6,98101,98119,43,47.611,-122.333,47.639,-122.366
7,98101,98103,40,47.611,-122.333,47.671,-122.34
8,98101,98107,39,47.611,-122.333,47.67,-122.383
9,98101,98105,32,47.611,-122.333,47.661,-122.293
10,98101,98112,27,47.611,-122.333,47.634,-122.293
11,98101,98144,22,47.611,-122.333,47.587,-122.298
12,98101,98115,16,47.611,-122.333,47.683,-122.292
13,98101,98116,14,47.611,-122.333,47.575,-122.396
14,98101,98125,13,47.611,-122.333,47.718,-122.302
15,98101,98134,13,47.611,-122.333,47.578,-122.333
16,98102,98102,278,47.633,-122.322,47.633,-122.322
17,98102,98122,83,47.633,-122.322,47.608,-122.302
18,98102,98112,50,47.633,-122.322,47.634,-122.293
19,98102,98109,47,47.633,-122.322,47.629,-122.343
20,98102,98101,44,47.633,-122.322,47.611,-122.333
21,98102,98104,38,47.633,-122.322,47.605,-122.326
22,98102,98103,23,47.633,-122.322,47.671,-122.34
23,98102,98105,20,47.633,-122.322,47.661,-122.293
24,98102,98121,18,47.633,-122.322,47.613,-122.344
25,98102,98115,16,47.633,-122.322,47.683,-122.292
26,98102,98195,16,47.633,-122.322,47.65,-122.31
27,98102,98107,14,47.633,-122.322,47.67,-122.383
